dataset_kind,dataset_id,dataset_slug,dataset_name,record_kind,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,value,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,series_code,source_series_code,source_system,source_label,metric_type,reporting_basis,temporal_granularity,unit,geography_key,dimension_key,mapping_relation,comparability,aggregation_policy,availability_status,missing_value_policy,definition_version,case_definition,case_definition_uri,quality_status,is_selected_series,data_layer,projection_policy,coverage_status,loss_risk,selected_series_codes,available_series_count,provenance_note,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,TW,"Taiwan, China",D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-02-01,2012-02,1,1,,0,0.004283396172896888,wpp_computed,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,1,The public curve is read directly from one registered source series.,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,TW,"Taiwan, China",D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-02-01,2012-02,1,1,,,,,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,SRC_TW_NIDSS,急性病毒性肝炎未定型,case_notifications,notification,monthly,count,country:TW:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"Unspecified acute viral hepatitis, code 070x.",,raw,True,series_registry,single_series,parity,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,1,The public curve is read directly from one registered source series.,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-03-01,2012-03,4493,4493,,3,0.3280709419232072,wpp_computed,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,,,,,,monthly,,,,,,,,,,,,,,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-03-01,2012-03,4493,4493,,,,,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SRC_CN_CDC,未分型肝炎,case_notifications,notification,monthly,count,country:CN:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"China CDC unclassified/unspecified viral hepatitis source category, including historical 'Other hepatitis' labels; migrated from legacy D012.",,raw,True,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,TW,"Taiwan, China",D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-03-01,2012-03,1,1,,0,0.004283396172896888,wpp_computed,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,1,The public curve is read directly from one registered source series.,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,TW,"Taiwan, China",D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-03-01,2012-03,1,1,,,,,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,SRC_TW_NIDSS,急性病毒性肝炎未定型,case_notifications,notification,monthly,count,country:TW:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"Unspecified acute viral hepatitis, code 070x.",,raw,True,series_registry,single_series,parity,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,1,The public curve is read directly from one registered source series.,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-04-01,2012-04,4074,4074,,2,0.29747630033277234,wpp_computed,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,,,,,,monthly,,,,,,,,,,,,,,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-04-01,2012-04,4074,4074,,,,,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SRC_CN_CDC,未分型肝炎,case_notifications,notification,monthly,count,country:CN:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"China CDC unclassified/unspecified viral hepatitis source category, including historical 'Other hepatitis' labels; migrated from legacy D012.",,raw,True,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-05-01,2012-05,4064,4064,,0,0.29674611795591227,wpp_computed,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,,,,,,monthly,,,,,,,,,,,,,,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-05-01,2012-05,4064,4064,,,,,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SRC_CN_CDC,未分型肝炎,case_notifications,notification,monthly,count,country:CN:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"China CDC unclassified/unspecified viral hepatitis source category, including historical 'Other hepatitis' labels; migrated from legacy D012.",,raw,True,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-06-01,2012-06,3811,3811,,2,0.27827250382135377,wpp_computed,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,,,,,,monthly,,,,,,,,,,,,,,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-06-01,2012-06,3811,3811,,,,,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SRC_CN_CDC,未分型肝炎,case_notifications,notification,monthly,count,country:CN:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"China CDC unclassified/unspecified viral hepatitis source category, including historical 'Other hepatitis' labels; migrated from legacy D012.",,raw,True,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,TW,"Taiwan, China",D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-06-01,2012-06,1,1,,0,0.004283396172896888,wpp_computed,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,1,The public curve is read directly from one registered source series.,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,TW,"Taiwan, China",D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-06-01,2012-06,1,1,,,,,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,SRC_TW_NIDSS,急性病毒性肝炎未定型,case_notifications,notification,monthly,count,country:TW:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"Unspecified acute viral hepatitis, code 070x.",,raw,True,series_registry,single_series,parity,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,1,The public curve is read directly from one registered source series.,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-07-01,2012-07,3904,3904,,1,0.285063199926152,wpp_computed,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,,,,,,monthly,,,,,,,,,,,,,,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-07-01,2012-07,3904,3904,,,,,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SRC_CN_CDC,未分型肝炎,case_notifications,notification,monthly,count,country:CN:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"China CDC unclassified/unspecified viral hepatitis source category, including historical 'Other hepatitis' labels; migrated from legacy D012.",,raw,True,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,TW,"Taiwan, China",D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-07-01,2012-07,2,2,,0,0.008566792345793776,wpp_computed,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,1,The public curve is read directly from one registered source series.,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,TW,"Taiwan, China",D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-07-01,2012-07,2,2,,,,,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,SRC_TW_NIDSS,急性病毒性肝炎未定型,case_notifications,notification,monthly,count,country:TW:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"Unspecified acute viral hepatitis, code 070x.",,raw,True,series_registry,single_series,parity,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,1,The public curve is read directly from one registered source series.,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-08-01,2012-08,4008,4008,,0,0.2926570966454962,wpp_computed,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,,,,,,monthly,,,,,,,,,,,,,,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-08-01,2012-08,4008,4008,,,,,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SRC_CN_CDC,未分型肝炎,case_notifications,notification,monthly,count,country:CN:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"China CDC unclassified/unspecified viral hepatitis source category, including historical 'Other hepatitis' labels; migrated from legacy D012.",,raw,True,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,TW,"Taiwan, China",D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-08-01,2012-08,2,2,,0,0.008566792345793776,wpp_computed,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,1,The public curve is read directly from one registered source series.,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,TW,"Taiwan, China",D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-08-01,2012-08,2,2,,,,,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,SRC_TW_NIDSS,急性病毒性肝炎未定型,case_notifications,notification,monthly,count,country:TW:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"Unspecified acute viral hepatitis, code 070x.",,raw,True,series_registry,single_series,parity,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,1,The public curve is read directly from one registered source series.,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-09-01,2012-09,3555,3555,,0,0.25957983497373727,wpp_computed,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,,,,,,monthly,,,,,,,,,,,,,,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-09-01,2012-09,3555,3555,,,,,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SRC_CN_CDC,未分型肝炎,case_notifications,notification,monthly,count,country:CN:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"China CDC unclassified/unspecified viral hepatitis source category, including historical 'Other hepatitis' labels; migrated from legacy D012.",,raw,True,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-10-01,2012-10,3581,3581,,0,0.26147830915357334,wpp_computed,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,,,,,,monthly,,,,,,,,,,,,,,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-10-01,2012-10,3581,3581,,,,,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SRC_CN_CDC,未分型肝炎,case_notifications,notification,monthly,count,country:CN:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"China CDC unclassified/unspecified viral hepatitis source category, including historical 'Other hepatitis' labels; migrated from legacy D012.",,raw,True,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,TW,"Taiwan, China",D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-10-01,2012-10,1,1,,0,0.004283396172896888,wpp_computed,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,1,The public curve is read directly from one registered source series.,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,TW,"Taiwan, China",D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-10-01,2012-10,1,1,,,,,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,SRC_TW_NIDSS,急性病毒性肝炎未定型,case_notifications,notification,monthly,count,country:TW:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"Unspecified acute viral hepatitis, code 070x.",,raw,True,series_registry,single_series,parity,,SER_TW_UNSPECIFIED_ACUTE_HEPATITIS_070X,1,The public curve is read directly from one registered source series.,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,public_projection,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-11-01,2012-11,3436,3436,,1,0.25089066468910304,wpp_computed,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,,,,,,monthly,,,,,,,,,,,,,,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D071,unspecified-viral-hepatitis,Unspecified viral hepatitis,source_series_observation,CN,China,D071,Unspecified viral hepatitis,未明示的病毒性肝炎,Viral,2012-11-01,2012-11,3436,3436,,,,,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,SRC_CN_CDC,未分型肝炎,case_notifications,notification,monthly,count,country:CN:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.30.1,"China CDC unclassified/unspecified viral hepatitis source category, including historical 'Other hepatitis' labels; migrated from legacy D012.",,raw,True,mixed,single_series,legacy_gap_fill,,SER_CN_UNSPECIFIED_VIRAL_HEPATITIS,1,The public curve is read directly from one registered source series. Registry facts replace matching periods; legacy-only periods are retained as explicit coverage gap fills.,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
